listing_id,date,location,property_type,bedrooms,bathrooms,price,views,leads,source
1,2024-01-05,Kilimani,Apartment,2,2,85000,420,22,organic
2,2024-01-08,Ruiru,Apartment,1,1,28000,260,11,organic
3,2024-01-12,Westlands,Apartment,3,2,120000,390,19,paid
4,2024-02-03,Kileleshwa,Apartment,2,2,95000,310,17,organic
5,2024-02-10,Roysambu,Apartment,1,1,25000,280,9,organic
6,2024-02-18,Kitengela,Bungalow,3,2,55000,210,8,referral
7,2024-03-04,Ngong Road,Apartment,2,2,70000,330,14,organic
8,2024-03-09,Parklands,Apartment,3,3,130000,360,21,paid
9,2024-03-16,Ruiru,Apartment,2,1,32000,295,12,direct
10,2024-04-02,Kilimani,Apartment,1,1,75000,410,19,organic
11,2024-04-07,Thika Road,Apartment,2,2,45000,270,10,organic
12,2024-04-21,Syokimau,Bungalow,3,2,60000,240,9,referral
13,2024-05-05,Westlands,Apartment,1,1,90000,380,18,paid
14,2024-05-11,Kileleshwa,Apartment,3,3,140000,340,20,organic
15,2024-05-26,Roysambu,Apartment,2,1,30000,310,13,organic
16,2024-06-03,Kitengela,Bungalow,4,3,65000,260,11,organic
17,2024-06-09,Ngong Road,Apartment,1,1,55000,295,10,direct
18,2024-06-19,Ruiru,Apartment,2,2,35000,305,14,organic
19,2024-07-01,Kilimani,Apartment,2,2,88000,430,25,organic
20,2024-07-08,Parklands,Apartment,2,2,115000,360,18,paid
21,2024-07-15,Thika Road,Apartment,1,1,38000,250,8,organic
22,2024-08-03,Ruaka,Apartment,2,2,60000,290,13,organic
23,2024-08-11,Westlands,Apartment,3,2,125000,410,22,paid
24,2024-08-22,Roysambu,Apartment,1,1,26000,320,12,organic
25,2024-09-02,Kitengela,Bungalow,3,2,58000,245,10,referral
26,2024-09-09,Syokimau,Bungalow,4,3,70000,275,12,organic
27,2024-09-18,Kileleshwa,Apartment,2,2,98000,330,16,organic
28,2024-10-04,Kilimani,Apartment,3,3,150000,450,26,paid
29,2024-10-12,Ruiru,Apartment,2,1,34000,310,13,organic
30,2024-10-21,Ngong Road,Apartment,2,2,72000,325,15,organic
31,2024-11-02,Westlands,Apartment,1,1,92000,370,17,paid
32,2024-11-09,Ruaka,Apartment,1,1,52000,260,9,organic
33,2024-11-20,Thika Road,Apartment,3,2,50000,285,11,organic
34,2024-12-01,Kileleshwa,Apartment,2,2,99000,345,18,organic
35,2024-12-08,Roysambu,Apartment,2,1,31000,330,14,organic
36,2024-12-17,Kitengela,Bungalow,3,2,59000,255,11,referral
37,2024-12-20,Kilimani,Apartment,1,1,78000,405,20,organic
38,2024-12-22,Syokimau,Bungalow,4,3,72000,280,13,organic
39,2024-12-27,Parklands,Apartment,3,3,135000,365,19,paid
40,2024-12-29,Ruiru,Apartment,2,2,36000,300,12,direct
